2023-06-13 08:56:40 Websocket connected
2023-06-13 08:59:38 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:26.624000", "Open Price": "25789.34000000"}

2023-06-13 08:59:42 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:27.232000", "Open Price": "25789.35000000"}

2023-06-13 08:59:46 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:29.209000", "Open Price": "25789.35000000"}

2023-06-13 08:59:50 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:29.392000", "Open Price": "25789.35000000"}

2023-06-13 08:59:54 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:31.122000", "Open Price": "25789.35000000"}

2023-06-13 08:59:58 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:32.199000", "Open Price": "25789.34000000"}

2023-06-13 09:00:02 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:33.180000", "Open Price": "25789.35000000"}

2023-06-13 09:00:06 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:34.094000", "Open Price": "25789.35000000"}

2023-06-13 09:00:10 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:35.232000", "Open Price": "25789.34000000"}

2023-06-13 09:00:14 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:36.249000", "Open Price": "25789.35000000"}

2023-06-13 09:00:18 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:37.303000", "Open Price": "25789.35000000"}

2023-06-13 09:00:22 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:38.120000", "Open Price": "25789.35000000"}

2023-06-13 09:00:26 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:38.837000", "Open Price": "25789.35000000"}

2023-06-13 09:00:30 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:40.123000", "Open Price": "25789.35000000"}

2023-06-13 09:00:34 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:40.870000", "Open Price": "25789.35000000"}

